canonical_key,title,author,real_test,current_cc010_stage,current_status,latest_completed_boundary,earliest_unresolved_boundary,waiting_on,blocker,next_action,automation_status,mutation_required
title:int pub 005 stage 0 handoff jmp int 202606 ba2hx9,INT-PUB-005 Stage 0 Handoff — JMP-INT-202606-BA2HX9,jackie test,TEST,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202606 ip82of,INT-PUB-005 Stage 0 Handoff — JMP-INT-202606-IP82OF,Jackie Stage0Test,RECONCILIATION_REQUIRED,Stage 0 / Editorial Review,Pending,None proven,Confirm next boundary after Stage 0 / Editorial Review,None,Confirm next boundary after Stage 0 / Editorial Review,Confirm next boundary after Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff test flowd gate 002,INT-PUB-005 Stage 0 Handoff — TEST-FLOWD-GATE-002,,TEST,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 dl2t20,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-DL2T20,Iyorwuese Hagher,RECONCILIATION_REQUIRED,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202606 ufyg6o,INT-PUB-005 Stage 0 Handoff — JMP-INT-202606-UFYG6O,Jackie Smith Jr,REAL_ACTIVE,Stage 0 / Editorial Review,Jackie Approved,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff test flowd gate 001,INT-PUB-005 Stage 0 Handoff — TEST-FLOWD-GATE-001,,TEST,Stage 0 / Editorial Review,Pending,None proven,Confirm next boundary after Stage 0 / Editorial Review,None,Confirm next boundary after Stage 0 / Editorial Review,Confirm next boundary after Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
unknown,unknown,,REAL_ACTIVE,Unknown,Author Review,None proven,Await Unknown author response/full approval,Author,Await Unknown author response/full approval,Await Unknown author response/full approval,NOT_COMMISSIONED,NO - dry-run evidence first
title:compilation reconciliation,Compilation-Reconciliation,,REAL_ACTIVE,Stage 0 / Editorial Review,,None proven,Confirm next boundary after Stage 0 / Editorial Review,None,Confirm next boundary after Stage 0 / Editorial Review,Confirm next boundary after Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:02 cover design,02_Cover-Design,,REAL_ACTIVE,Production / Downstream,,None proven,Confirm next boundary after Production / Downstream,None,Confirm next boundary after Production / Downstream,Confirm next boundary after Production / Downstream,DOWNSTREAM,NO - dry-run evidence first
title:02 interior layout,02_Interior-Layout,,REAL_ACTIVE,Production / Downstream,,None proven,Confirm next boundary after Production / Downstream,None,Confirm next boundary after Production / Downstream,Confirm next boundary after Production / Downstream,DOWNSTREAM,NO - dry-run evidence first
